dt,gas_usd_per_tx,median_gas_usd,_col3
2024-05-07 00:00:00.000 UTC,2.303340274182284,1.0166185518046358,Ethereum
2024-07-04 00:00:00.000 UTC,2.976533899713139,1.1735042431791118,Ethereum
2024-07-23 00:00:00.000 UTC,2.631962557041051,0.9704925974479502,Ethereum
2024-06-02 00:00:00.000 UTC,5.024608515841803,1.7964101758042788,Ethereum
2024-05-06 00:00:00.000 UTC,2.4005386034943794,1.008229379444558,Ethereum
2024-06-15 00:00:00.000 UTC,2.3957025992045,0.917331295080998,Ethereum
2024-06-16 00:00:00.000 UTC,2.271096270930138,0.7863322162423947,Ethereum
2024-05-20 00:00:00.000 UTC,6.004480190307645,1.6619105393814817,Ethereum
2024-05-01 00:00:00.000 UTC,3.2083472758296128,1.42142847623312,Ethereum
2024-06-21 00:00:00.000 UTC,2.354431433661608,0.8114057826764304,Ethereum
2024-05-02 00:00:00.000 UTC,2.7413427549943954,1.2373040846495884,Ethereum
2024-07-22 00:00:00.000 UTC,3.143342746528537,1.1896613459716343,Ethereum
2024-07-14 00:00:00.000 UTC,1.900323712943455,0.6099144800352688,Ethereum
2024-05-11 00:00:00.000 UTC,1.8139718048037656,0.8423015993566048,Ethereum
2024-07-19 00:00:00.000 UTC,3.444182436639075,1.2877506331979274,Ethereum
2024-06-25 00:00:00.000 UTC,2.6473143841717337,0.9683563932070538,Ethereum
2024-05-24 00:00:00.000 UTC,4.154705001060135,1.543957456990568,Ethereum
2024-06-20 00:00:00.000 UTC,4.4894701692928844,1.7842274433206444,Ethereum
2024-06-23 00:00:00.000 UTC,1.7599078787799394,0.5635447636615589,Ethereum
2024-05-16 00:00:00.000 UTC,2.0565871198284227,0.802733911457982,Ethereum
2024-05-29 00:00:00.000 UTC,5.706239888984269,2.289036000089726,Ethereum
2024-07-13 00:00:00.000 UTC,1.5670473545526264,0.3518399190383378,Ethereum
2024-05-15 00:00:00.000 UTC,2.8592232610265795,1.0793962606955645,Ethereum
2024-06-30 00:00:00.000 UTC,1.694281811816022,0.5614826097974767,Ethereum
2024-05-28 00:00:00.000 UTC,7.799970004957014,3.063421121872594,Ethereum
2024-06-29 00:00:00.000 UTC,1.2759023894516686,0.3935111092586544,Ethereum
2024-07-18 00:00:00.000 UTC,4.804252601101729,1.869218508046657,Ethereum
2024-06-26 00:00:00.000 UTC,2.501926634968967,0.8140822380504209,Ethereum
2024-05-25 00:00:00.000 UTC,2.6556474129651457,0.9203129761871964,Ethereum
2024-05-05 00:00:00.000 UTC,2.325292659234891,0.992697666078867,Ethereum
2024-06-17 00:00:00.000 UTC,3.5052921267580426,1.2354256703368325,Ethereum
2024-06-06 00:00:00.000 UTC,8.815764288126351,3.5525972967434294,Ethereum
2024-07-11 00:00:00.000 UTC,2.401748354240033,0.8943241759922446,Ethereum
2024-06-28 00:00:00.000 UTC,2.4515761139605137,0.8157818348981529,Ethereum
2024-07-24 00:00:00.000 UTC,2.369505601338494,0.8523302499402707,Ethereum
2024-06-03 00:00:00.000 UTC,6.006795103437425,2.3485453500218383,Ethereum
2024-04-30 00:00:00.000 UTC,4.452919273018871,1.855181738437015,Ethereum
2024-05-08 00:00:00.000 UTC,2.0426854316516234,0.8145766250534185,Ethereum
2024-05-27 00:00:00.000 UTC,7.114047526540394,2.729785930923484,Ethereum
2024-07-20 00:00:00.000 UTC,2.0879662250829725,0.7325937038853213,Ethereum
2024-07-01 00:00:00.000 UTC,2.7621539746968757,1.0299063080669058,Ethereum
2024-07-25 00:00:00.000 UTC,2.3403306722694093,0.8450322968166446,Ethereum
2024-05-03 00:00:00.000 UTC,2.702320395442501,1.1309868937570644,Ethereum
2024-07-08 00:00:00.000 UTC,1.8082299665135044,0.6042340814746436,Ethereum
2024-06-24 00:00:00.000 UTC,2.7945561036802333,1.0208720580464048,Ethereum
2024-07-26 00:00:00.000 UTC,1.4994240220500563,0.5265332159238891,Ethereum
2024-06-11 00:00:00.000 UTC,5.851193146389959,2.289791559300862,Ethereum
2024-05-10 00:00:00.000 UTC,2.346939048251606,0.9892996517689904,Ethereum
2024-07-27 00:00:00.000 UTC,2.597285431140794,0.6052070726367542,Ethereum
2024-06-09 00:00:00.000 UTC,3.641292684649083,1.292610502243834,Ethereum
2024-06-14 00:00:00.000 UTC,4.23187049069781,1.672392122315701,Ethereum
2024-06-04 00:00:00.000 UTC,4.814577289950688,1.9040159687078135,Ethereum
2024-05-13 00:00:00.000 UTC,3.157084684700036,1.168063213228083,Ethereum
2024-05-26 00:00:00.000 UTC,3.1501939670074277,1.079802175480603,Ethereum
2024-07-06 00:00:00.000 UTC,1.2303474755444572,0.3755279628132623,Ethereum
2024-06-10 00:00:00.000 UTC,4.876178320174094,1.7706436612938985,Ethereum
2024-05-09 00:00:00.000 UTC,1.9709668676279015,0.7793387177931441,Ethereum
2024-05-30 00:00:00.000 UTC,6.175349483194734,2.394875019710444,Ethereum
2024-06-18 00:00:00.000 UTC,4.216492815875375,1.5750961044315706,Ethereum
2024-06-05 00:00:00.000 UTC,8.057947426385871,3.3157278411832163,Ethereum
2024-07-07 00:00:00.000 UTC,1.1780114004411983,0.364817554705051,Ethereum
2024-05-17 00:00:00.000 UTC,2.476537098013845,0.907502871525007,Ethereum
2024-06-22 00:00:00.000 UTC,1.3318169795849992,0.3884810197021342,Ethereum
2024-05-21 00:00:00.000 UTC,6.047262725440639,2.4636111871695934,Ethereum
2024-06-12 00:00:00.000 UTC,6.375149551087484,2.787927185463425,Ethereum
2024-06-19 00:00:00.000 UTC,3.6913835101788095,1.3897309436922058,Ethereum
2024-05-18 00:00:00.000 UTC,1.6921431699154288,0.5996944698653901,Ethereum
2024-05-23 00:00:00.000 UTC,5.881032673520624,2.195644843284913,Ethereum
2024-07-09 00:00:00.000 UTC,1.9596829573862795,0.6665375432303282,Ethereum
2024-06-27 00:00:00.000 UTC,3.3959780482459188,1.1993207443387663,Ethereum
2024-07-02 00:00:00.000 UTC,2.411724398455561,0.864817257134377,Ethereum
2024-05-31 00:00:00.000 UTC,5.603391429156759,2.1425582626052804,Ethereum
2024-04-29 00:00:00.000 UTC,3.185942248616425,1.4216701660256243,Ethereum
2024-07-16 00:00:00.000 UTC,3.935265792265216,1.4515241333046638,Ethereum
2024-07-21 00:00:00.000 UTC,2.9716332085759274,0.8485038611321092,Ethereum
2024-05-04 00:00:00.000 UTC,2.2852261187890046,0.9749266179287424,Ethereum
2024-06-13 00:00:00.000 UTC,5.58160586067039,2.219343967559585,Ethereum
2024-07-17 00:00:00.000 UTC,4.54752061456272,1.8459726523560904,Ethereum
2024-07-15 00:00:00.000 UTC,3.886471410773781,1.324444411917738,Ethereum
2024-05-22 00:00:00.000 UTC,5.217130793162358,1.9210394414728176,Ethereum
2024-07-12 00:00:00.000 UTC,1.6165118995485297,0.5558974937670017,Ethereum
2024-05-19 00:00:00.000 UTC,1.8206193552347647,0.590437579035641,Ethereum
2024-06-08 00:00:00.000 UTC,3.8097927636115463,1.4140343786983622,Ethereum
2024-07-05 00:00:00.000 UTC,3.352012239700676,1.1867316263859768,Ethereum
2024-05-14 00:00:00.000 UTC,2.6458859402630006,1.0339571997906891,Ethereum
2024-07-10 00:00:00.000 UTC,2.831333310809322,1.1116400258778445,Ethereum
2024-07-03 00:00:00.000 UTC,3.6371412205447458,1.397620871575294,Ethereum
2024-06-01 00:00:00.000 UTC,3.998418189960328,1.4196039071524644,Ethereum
2024-05-12 00:00:00.000 UTC,1.7073166769686574,0.6416086255872682,Ethereum
2024-06-07 00:00:00.000 UTC,6.982187443165373,2.698147662845769,Ethereum
